▶  Evaluating 1433 folds on 30-day slice using 16 core(s)…

✅  DONE – summary saved to rf_30d_summary.csv

      model total_return  equity_mult sharpe  trades  win_rate
rf_fold1088      +24.13%     1.241267   4.10      43 47.310061
rf_fold1123      +22.78%     1.227772   3.86      53 47.336988
rf_fold1024      +21.77%     1.217661   3.71      29 47.090008
rf_fold1372      +21.25%     1.212505   3.63      27 47.148148
rf_fold1038      +21.06%     1.210626   3.63       9 47.161913
rf_fold1018      +20.92%     1.209212   3.56      35 47.014563
 rf_fold855      +20.89%     1.208884   3.59      17 47.158407
 rf_fold848      +20.29%     1.202871   3.42      65 47.331019
rf_fold1296      +20.22%     1.202229   3.39      91 47.473740
rf_fold1033      +19.23%     1.192305   3.26      53 47.006944
rf_fold1036      +19.17%     1.191746   3.28      25 47.004630
 rf_fold729      +18.74%     1.187423   3.21      21 47.117653
 rf_fold832      +18.21%     1.182141   3.11      27 47.064815
 rf_fold852      +18.12%     1.181228   3.06      69 47.257100
 rf_fold544      +18.04%     1.180373   3.04      69 47.004630
