▶  Evaluating 1433 folds on 30-day slice using 16 core(s)…

✅  DONE – summary saved to rf_30d_summary.csv

      model total_return  equity_mult sharpe  trades  win_rate
rf_fold1088      +23.36%     1.233551   3.97      43 47.314050
rf_fold1123      +22.11%     1.221106   3.75      53 47.299662
rf_fold1024      +21.66%     1.216649   3.70      29 47.096983
rf_fold1372      +21.14%     1.211403   3.62      27 47.167930
rf_fold1038      +21.06%     1.210626   3.63       9 47.161913
 rf_fold855      +20.94%     1.209432   3.60      17 47.159144
rf_fold1018      +20.77%     1.207738   3.54      35 47.022430
rf_fold1296      +20.22%     1.202229   3.39      91 47.473740
 rf_fold848      +19.71%     1.197136   3.33      65 47.334646
 rf_fold832      +19.50%     1.195016   3.33      27 47.001043
 rf_fold729      +19.25%     1.192506   3.30      21 47.120011
rf_fold1033      +19.10%     1.191042   3.24      53 47.014943
rf_fold1036      +19.05%     1.190482   3.26      25 47.012626
 rf_fold852      +18.11%     1.181130   3.06      69 47.255879
 rf_fold544      +17.91%     1.179110   3.02      69 47.012626
