▶  Evaluating 16 folds on in-sample and out-of-sample slices using 16 core(s)…

✅  DONE – Combined Backtest Results

    model   in_return in_sharpe  in_successful  in_failed in_accuracy in_precision in_recall out_return out_sharpe  out_successful  out_failed out_accuracy out_precision out_recall
 rf_fold2 -11,810.41%    -16.72          10316      39813      26.74%       34.83%    34.21%    -20.83%      -5.69              14          68        3.49%        19.21%     33.35%
 rf_fold1 -12,890.16%    -19.05          11624      40472      32.33%       34.01%    31.57%   -104.78%      -2.14             207         170       47.51%        16.07%     32.95%
 rf_fold3 -15,297.11%    -22.74          14298      54170      25.04%       35.31%    36.61%   -116.22%     -12.09             124         377        3.68%        17.83%     33.47%
rf_fold11 -14,008.98%    -21.76          13529      34623      32.61%       34.35%    29.74%   -306.04%     -16.46             334        1089        5.01%        18.13%     34.22%
 rf_fold6 -16,075.94%    -23.65          13695      49795      30.78%       34.47%    38.55%   -354.77%     -26.34             112        1521        3.99%        33.47%     32.91%
 rf_fold0 -12,827.07%    -15.14           9683      33812      47.03%       34.61%    36.01%   -941.90%     -17.47             903        3305       45.97%        18.84%     36.09%
 rf_fold4  -9,045.85%    -11.64           6773      32725      35.35%       35.38%    41.13% -1,433.37%     -51.87             463        6150        6.31%        33.66%     33.01%
rf_fold10 -20,110.82%    -30.87          18377      58107      29.73%       35.30%    40.59% -1,822.78%     -77.12             177        8115        7.38%        16.90%     31.79%
 rf_fold5 -11,006.96%    -15.29          13660      32360      34.88%       35.18%    35.58% -1,882.31%     -69.72             408        8125       11.68%        32.49%     20.83%
 rf_fold7 -16,220.45%    -23.61          12890      51412      31.63%       34.37%    36.35% -2,071.71%     -65.20             566        8934        8.81%        33.26%     30.24%
rf_fold13 -20,096.81%    -34.75          16340      59039      23.95%       34.25%    26.47% -2,149.97%     -51.45            2179        7652       34.39%        16.60%     28.70%
 rf_fold9 -17,744.32%    -32.87          14917      53886      20.80%       35.42%    39.60% -2,495.59%     -75.35            1099       10302       13.83%        17.50%     34.82%
 rf_fold8 -15,358.45%    -24.45          14518      45491      28.30%       34.73%    32.50% -2,534.96%     -51.33            2997        8561       38.97%        17.21%     33.40%
rf_fold12 -22,009.95%    -36.16          20679      63496      27.32%       34.15%    26.09% -2,594.16%     -65.78            1851        9983       20.21%        33.26%     36.32%
rf_fold15 -13,549.64%    -30.45           8478      39326      16.35%       34.48%    24.59% -3,250.78%     -73.45            1916       12886       27.11%        34.41%     36.57%
rf_fold14 -18,999.69%    -33.68          15503      57135      27.31%       34.31%    29.17% -3,866.57%     -87.58            1578       16085       20.64%        34.64%     37.66%
