▶  Evaluating 17 regressor folds using 4 core(s)…

✅  DONE – Combined Regressor Backtest Results

    model   in_return in_sharpe  in_successful  in_failed in_accuracy in_precision in_recall out_return out_sharpe  out_successful  out_failed out_accuracy out_precision out_recall
 rf_fold5  -6,244.58%     -7.69          16107      35417      45.18%       34.16%    34.65%    -16.24%      -0.31               6           4       48.08%        39.10%     33.33%
 rf_fold7 -12,109.23%    -15.10          19016      55091      42.29%       34.25%    36.65%    -20.03%      -0.38               6           4       48.08%        32.69%     33.33%
 rf_fold6 -10,797.34%    -13.29          19079      48803      44.06%       34.48%    37.33%    -22.89%      -0.44              19          27       48.07%        38.25%     33.32%
 rf_fold3  -6,287.69%     -7.84          18529      35391      44.15%       33.68%    31.99%    -28.31%      -0.54              15          11       48.07%        32.69%     33.33%
rf_fold13 -17,250.34%    -22.49          21224      68504      39.42%       34.81%    42.12%    -38.15%      -0.73              18          74       48.05%        19.77%     33.42%
 rf_fold4  -7,580.08%     -9.37          18184      41673      43.50%       33.91%    33.78%    -39.53%      -0.76              25          91       48.02%        38.47%     33.31%
 rf_fold2  -4,563.53%     -5.66          15437      28235      45.36%       33.51%    31.90%    -99.46%      -1.92             207         152       47.84%        32.26%     33.17%
 rf_fold9 -12,696.92%    -15.97          19950      54014      41.04%       34.24%    35.61%   -170.52%      -3.25             179         429       47.79%        37.85%     34.70%
 rf_fold8 -12,924.87%    -16.12          19064      57038      41.51%       34.41%    37.04%   -238.84%      -4.56             243         682       47.40%        38.65%     37.49%
rf_fold10  -6,159.01%     -7.52           9429      31740      44.27%       35.09%    41.15%   -332.17%      -6.34             155        1216       47.29%        35.08%     34.28%
rf_fold15 -11,901.69%    -14.88          17439      50008      42.19%       35.07%    41.10%   -444.19%      -8.56             430        1513       46.94%        37.38%     36.05%
rf_fold14 -22,521.85%    -28.95          21699      90393      37.30%       34.37%    41.79%   -559.89%     -10.90             889        1667       46.41%        17.17%     33.32%
 rf_fold1  -4,546.65%     -5.59          13665      27709      45.83%       34.34%    31.99%   -998.96%     -18.89             959        3635       43.54%        33.51%     31.68%
rf_fold16  -8,881.68%    -11.15          15576      40050      43.89%       34.93%    35.71% -1,608.06%     -30.90             893        6368       39.00%        33.55%     34.46%
rf_fold11  -8,224.00%    -10.14          10201      38129      42.56%       34.83%    40.95% -2,767.31%     -53.86            1605       10706       32.32%        33.90%     36.60%
 rf_fold0 -21,979.63%    -27.70          28605      88636      37.61%       34.40%    35.42% -2,906.51%     -54.27            1756       11267       34.29%        34.06%     35.28%
rf_fold12 -16,086.24%    -20.31          19340      64831      38.88%       34.66%    41.20% -4,342.23%     -86.64            2820       16818       26.96%        33.28%     32.83%
